period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence
2025-09-08,2025-09-14,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,115100,115100.0,3,observed,21.657,87.857,39.8,0.488,Dat do vang tren bazan,4,low
2025-09-15,2025-09-21,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,119800,119800.0,1,observed,22.086,87.571,46.2,0.478,Dat do vang tren bazan,4,low
2025-09-22,2025-09-28,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,117400,,0,interpolated_area,21.686,90.429,96.6,0.495,Dat do vang tren bazan,4,low
2025-09-29,2025-10-05,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,115000,115000.0,1,observed,21.643,87.0,36.0,0.485,Dat do vang tren bazan,4,low
2025-10-06,2025-10-12,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,113300,113300.0,2,observed,21.286,88.429,55.4,0.477,Dat do vang tren bazan,4,low
2025-10-13,2025-10-19,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,113900,113900.0,3,observed,21.757,84.857,26.0,0.483,Dat do vang tren bazan,4,low
2025-10-20,2025-10-26,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,115200,115200.0,8,observed,21.3,91.714,72.4,0.493,Dat do vang tren bazan,4,low
2025-10-27,2025-11-02,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,115400,115400.0,7,observed,21.543,91.286,108.1,0.498,Dat do vang tren bazan,4,low
2025-11-03,2025-11-09,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,116900,116900.0,11,observed,21.371,91.143,87.7,0.495,Dat do vang tren bazan,4,low
2025-11-10,2025-11-16,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,115155,115154.54545454546,11,observed,20.914,85.0,30.2,0.452,Dat do vang tren bazan,4,low
2025-11-17,2025-11-23,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,110911,110911.11111111111,9,observed,21.486,84.714,111.0,0.498,Dat do vang tren bazan,4,low
2025-11-24,2025-11-30,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,112664,112663.63636363637,11,observed,20.386,80.143,9.7,0.429,Dat do vang tren bazan,4,low
2025-12-01,2025-12-07,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,105091,105090.90909090909,11,observed,20.686,82.714,12.2,0.464,Dat do vang tren bazan,4,low
2025-12-08,2025-12-14,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,101009,101009.09090909091,11,observed,20.614,78.571,2.4,0.442,Dat do vang tren bazan,4,low
2025-12-15,2025-12-21,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,93227,93227.27272727272,11,observed,20.814,80.571,5.0,0.397,Dat do vang tren bazan,4,low
2025-12-22,2025-12-28,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,95529,95528.57142857143,7,observed,20.743,83.0,22.9,0.423,Dat do vang tren bazan,4,low
2025-12-29,2025-12-31,Lam Dong,Lam Ha,Robusta / ca phe nhan xo noi dia,96000,96000.0,2,observed,18.2,76.333,0.0,0.412,Dat do vang tren bazan,4,low
