period_start,period_end,province,area,coffee_type,avg_price_vnd_per_kg,observed_price_vnd_per_kg,price_observations,price_fill_method,avg_temperature_c,avg_humidity_percent,total_rainfall_mm,avg_soil_moisture_0_7cm,dominant_soil_type,soil_score,soil_data_confidence
2022-05-30,2022-06-05,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,42500,42500.0,2,observed,22.286,89.286,40.2,0.463,Dat do vang tren bazan,4,low
2022-06-06,2022-06-12,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,42000,42000.0,1,observed,22.314,89.714,49.5,0.454,Dat do vang tren bazan,4,low
2022-06-13,2022-06-19,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,42250,42250.0,2,observed,22.414,88.714,31.6,0.457,Dat do vang tren bazan,4,low
2022-06-20,2022-06-26,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,42800,42800.0,1,observed,21.871,89.429,47.2,0.462,Dat do vang tren bazan,4,low
2022-06-27,2022-07-03,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,42600,42600.0,1,observed,22.386,90.714,30.9,0.467,Dat do vang tren bazan,4,low
2022-07-04,2022-07-10,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,41900,41900.0,1,observed,22.114,91.429,70.6,0.476,Dat do vang tren bazan,4,low
2022-07-11,2022-07-17,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,41775,,0,interpolated_area,21.914,91.857,31.5,0.491,Dat do vang tren bazan,4,low
2022-07-18,2022-07-24,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,41650,41650.0,2,observed,22.043,89.286,43.2,0.483,Dat do vang tren bazan,4,low
2022-07-25,2022-07-31,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,42667,42666.666666666664,3,observed,22.329,89.143,35.5,0.475,Dat do vang tren bazan,4,low
2022-08-01,2022-08-07,Lam Dong,Bao Loc,Robusta / ca phe nhan xo noi dia,44000,44000.0,1,observed,22.1,90.857,45.7,0.483,Dat do vang tren bazan,4,low
